Accession	Requested_species	NCBI_organism	NCBI_accepted_species	Phylum	Class	Order	Family	Genus	Taxonomy_source
KT581423.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
KX427161.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
KX530785.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
MT270137.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PP937764.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PQ490564.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ019997.1	Tetradesmus obliquus	Tetradesmus obliquus f. rectilineare	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ019998.1	Tetradesmus obliquus	Tetradesmus obliquus f. rectilineare	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ019999.1	Tetradesmus obliquus	Tetradesmus obliquus f. rectilineare	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ020000.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ020001.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ020002.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
PZ020004.1	Tetradesmus obliquus	Tetradesmus obliquus	Tetradesmus obliquus	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NCBI_LINEAGE
AF218505.1	Tetragonolobus maritimus	Lotus maritimus	Lotus maritimus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	BOLD_GENUS_BACKBONE
KT250891.1	Tetragonolobus maritimus	Lotus maritimus	Lotus maritimus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	BOLD_GENUS_BACKBONE
HQ646955.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646956.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646957.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646958.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646959.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646960.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646961.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646962.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646963.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646964.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646965.1	Teucrium flavum	Teucrium flavum subsp. flavum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646966.1	Teucrium flavum	Teucrium flavum subsp. flavum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
HQ646967.1	Teucrium flavum	Teucrium flavum subsp. flavum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
JN575355.1	Teucrium flavum	Teucrium flavum subsp. glaucum	Teucrium flavum	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	BOLD_GENUS_BACKBONE
AY154815.1	Thlaspi cepaeifolium	Noccaea cepaeifolia	Noccaea cepaeifolia	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea	NCBI_LINEAGE
AY154810.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
FM164567.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KF022704.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163735.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163736.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163737.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163738.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163739.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163740.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163741.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163742.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163743.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163744.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163745.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163746.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163747.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163748.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163749.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163750.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163751.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163752.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163753.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163754.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163755.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163756.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163757.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KP163758.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KT220637.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KT220638.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KT220639.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293697.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293698.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293699.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293700.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293701.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293704.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293705.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293706.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293707.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293708.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293709.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293710.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293713.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293723.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293724.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293725.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293726.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293727.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293728.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293729.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293730.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293731.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293732.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293733.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293734.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293735.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293736.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293737.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293738.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293739.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293740.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293741.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293742.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293743.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293744.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293745.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293746.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293747.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293748.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293749.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293750.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293751.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293752.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293753.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293754.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293755.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293756.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293757.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293758.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293759.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293760.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293761.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293762.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293763.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293764.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293765.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293766.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293767.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293768.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293769.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293770.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293771.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293772.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293773.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293774.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293775.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293776.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293777.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293778.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293779.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293780.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293781.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293782.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293783.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293784.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293785.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293786.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293787.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293788.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293790.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293791.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
KU293792.1	Thlaspi perfoliatum	Microthlaspi perfoliatum	Microthlaspi perfoliatum	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi	NCBI_LINEAGE
